,Unnamed: 0,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_excess_noise,visibility_periods_used,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_bp_rp_excess_factor,g_mag_error,labels,is_core,distance_pc,PMemb,gmm_label,estimated_mass,galactic_xyz_pc,relpos_cluster,r_cluster,radius,x_pc,y_pc,z_pc,proper_motion_scalar,lambd_av,lambd_av_rad
20,1151,342462382739059456,29.473098669550087,0.03449829,37.22690561579877,0.03390583,0.7613440607483107,0.04099844,18.570074,5.430149,-1.6428049753563077,0.04474679,-5.175684655007982,0.044667486,0.12818903,0.3123217,-0.02008456,-0.054941047,-0.107104205,-0.11675223,-0.13516568,-0.070047826,0.1539628,0.24842584,0.1085154,14,1.1107721,2493.2114,15.508411,395.41663,15.899567,621.86505,14.94607,0.95349693,39.05866503514476,,1.212393,0.00043547698,0,True,1313.4666066970021,0.9823628335337272,1,0.989655203473069,[-883.86974737  814.54990458 -529.60102864],[-453.86974737 7675.54990458 3282.39897136],8360.275539266519,127.5076562104532,5795.352906849484,3275.26185896651,5057.741742391418,5.430149154041768,40.877798634591265,0.71345217714086
21,1177,342462898135147904,29.27814455249843,0.011944933,37.131730811524456,0.011573627,0.3754186792028208,0.0135853775,27.634026,4.363312,-0.917804671662898,0.014809497,-4.265691586417767,0.015845297,0.019398604,0.23608369,-0.18271822,0.14729069,-0.18657066,0.12813304,-0.030910563,-0.014572548,0.14720711,0.18324026,0.0,14,0.997804,6325.633,13.323252,1437.4572,13.857972,1086.3893,12.635304,1.2226677,-28.23222,2.0489774,1.2363954,0.00017164071,0,False,2663.692712689311,0.8989619273641863,1,2.026882257242037,[-1786.74185039  1654.3802869  -1079.73991961],[-1356.74185039  8515.3802869   2732.26008039],9045.313428846363,812.5455457902972,6290.1632530239485,3526.72068249813,5460.1998593472235,,,
22,1193,342463173013052800,29.25015634782781,0.03618989,37.14955520711397,0.037026625,0.7685486378038356,0.04246205,18.099659,3.4646325,-2.580089127310191,0.047160566,-2.31231897938537,0.051594246,0.10896306,0.14585394,-0.1255062,0.06463251,-0.18234146,0.030053359,-0.09253266,0.05066488,0.20309532,0.2455263,0.08745811,14,1.0478928,2009.7339,16.009731,203.12099,16.436804,304.35132,15.413725,1.0230789,24.871947551339556,,1.2181838,0.00054023875,0,True,1301.1538252901569,0.9995268613331242,1,0.902999528462326,[-872.45070314  808.63529088 -527.20016501],[-442.45070314 7669.63529088 3284.79983499],8355.176723195245,122.40884013918003,5810.459561014639,3254.0345330516675,5045.671117239452,3.4646325876332202,40.6665703170798,0.709765547526837
23,1211,342463550970172672,29.3053750553896,0.011605789,37.16526006987714,0.0121016,0.8338982715006846,0.013919577,59.908306,1.4686397,0.4550991298950693,0.015322278,-1.3963478396866127,0.016683899,0.13844757,0.15019749,-0.057411324,0.051229138,-0.121951886,0.037222262,0.027626572,-0.011112668,0.18066448,0.26208907,0.003893824,14,1.0477097,3641.0466,13.507494,1192.145,13.786847,1255.7451,13.069307,0.7175398,-9.954638,3.1809747,1.1909093,0.00029819342,0,False,1199.187040165461,0.8718688950747633,1,1.3533005376276832,[-804.78931224  744.83877703 -485.36472516],[-374.78931224 7605.83877703 3326.63527484],8309.979108432526,77.21122537646079,5774.7061680061115,3241.326343912923,5020.1917282145005,,,
24,1448,342468086455646336,29.066586155538324,0.042854235,37.10014635229357,0.04411177,0.5928448220720582,0.059038077,10.041737,7.9773207,-4.549034678265803,0.055780575,-6.55316164956494,0.08267869,0.055870026,0.31130442,-0.14824896,0.13807468,-0.26712507,0.03067591,-0.12014224,-0.017286932,0.4422068,0.36361787,0.0,13,1.0007054,1688.2955,16.039156,166.9759,16.409058,446.05435,15.474504,0.93455315,74.68265762144176,,1.2238957,0.00064309605,0,False,1686.7820427357185,0.9997442899898896,1,0.9923525660011616,[-1127.7055263   1050.32721427  -685.80365165],[-697.7055263  7911.32721427 3126.19634835],8535.162265655483,302.39438259941744,5950.129871364711,3307.2562765256553,5148.495443947122,7.977320609665474,40.49841632603598,0.7068307067327532
25,1496,342468906794172672,29.03375372283547,0.04616177,37.12868409022517,0.05252337,0.5956625697881637,0.057649262,10.332527,5.3106637,-3.5244841354883887,0.06585608,-3.972551003296744,0.09433928,0.21072514,0.17507753,-0.13187599,0.046833534,-0.18519408,-0.026573762,-0.09997511,0.19085543,0.3010392,0.5204237,0.0,13,0.9463268,1472.1182,16.490517,172.33984,16.928572,219.73047,15.900401,1.0281706,49.50813999456985,,1.2093154,0.00073753326,0,True,1678.8028167618984,0.9996240376236628,1,0.9142734133845917,[-1121.89009074  1046.23019785  -682.0145856 ],[-691.89009074 7907.23019785 3129.9854144 ],8532.280468540659,299.5125854845937,5947.7723550071005,3301.4860700420995,5150.145991733795,5.3106637904412,40.48379921049927,0.7065755899394932
26,1512,342469151607416448,28.996979117099528,0.015478183,37.13622595548241,0.01910218,0.2417097264882736,0.019482706,12.406373,2.9498446,-2.4175713649078308,0.021721013,-1.690245986468327,0.03161697,0.19018292,0.07505637,-0.17057355,0.09653055,-0.23307842,0.011249313,-0.16911413,0.20361193,0.26504084,0.42339143,0.0474544,12,1.0871049,5391.786,13.863979,728.9818,14.4536705,1184.5804,13.134956,1.3187141,-34.012074,3.1990237,1.2450997,0.00020136854,0,False,4137.193875185301,0.9970779125513488,1,2.0580904325860634,[-2763.24837663  2579.88399697 -1680.78259514],[-2333.24837663  9440.88399697  2131.21740486],9955.723291559585,1722.9554085035197,6941.8201309471615,3847.4352856149953,6010.39110629944,,,
27,1654,342471831667012736,28.8844554660258,0.026359737,37.124295062935616,0.026408851,0.5435145151594604,0.028510792,19.063465,5.381324,-2.1654836673821007,0.031000841,-4.926390718429575,0.03677253,0.030777674,0.26885748,-0.32445204,0.098971464,0.0048360704,0.05884253,-0.31795278,0.01882998,0.09740337,0.19506092,0.0,13,0.93918467,2586.7393,15.042784,595.08984,15.338551,646.4588,14.584054,0.7544966,55.217801886234014,,1.1945341,0.00041973157,0,True,1839.87726566348,0.9850109702181266,1,1.2187050427884176,[-1226.69698973  1148.9485793   -748.51854368],[-796.69698973 8009.9485793  3063.48145632],8612.718558601913,379.95067554584784,6012.857211137817,3317.1473998476445,5198.172972866311,5.381323724171191,40.36182009353498,0.7044466527297911
28,1674,342472072185176448,28.9803018547243,0.020597352,37.14456949999666,0.021525687,0.6690573031794137,0.02336917,28.629911,5.503861,-4.715157579530742,0.029932622,-2.838974120664301,0.038576346,0.10461031,0.006914675,-0.35316828,0.08801335,-0.10693563,0.04954595,-0.18417586,0.30713153,0.24409796,0.38557565,0.0,12,0.91675293,2563.4333,14.480434,674.7062,14.8119755,705.8302,13.980304,0.8316717,-51.12192,8.136412,1.201596,0.00042354764,0,False,1494.640287532802,0.9999902240699664,1,1.2355850749569355,[-998.04251529  932.35148201 -607.10908474],[-568.04251529 7793.35148201 3204.89091526],8445.728233848435,212.96035079236935,5889.247138475582,3261.8166819959115,5099.769158994842,,,
29,1963,342477153130187392,29.17072611604761,0.020189809,37.263961761119866,0.02275836,0.4981341126361387,0.026705908,18.65258,2.7669284,-1.3351966831833733,0.029112864,-2.42345671161715,0.041275427,0.18901451,0.22085594,-0.14172104,0.03164025,-0.18600361,-0.016717708,-0.050277043,0.09484055,0.35354528,0.51059234,0.0,13,1.0606291,2746.255,14.64651,687.28064,14.939851,987.1524,14.180537,0.7593136,30.66408560467735,,1.2000686,0.00039535156,0,True,2007.491506068464,0.984271332960918,1,1.3439549524706713,[-1344.82973504  1250.86762873  -810.42291804],[-914.82973504 8111.86762873 3001.57708196],8697.63041576081,464.8625327047448,6044.1332477761,3373.9003868455884,5266.310312917221,2.7669283720158155,40.64997999481205,0.7094759917792978
